Month,Colony,Plant_family,Percentage
Oct,BP2,Moraceae,0
Oct,BP2,Myrtaceae,99.072
Oct,BP2,Salicaceae,0
Oct,BP2,Solanaceae,0.186
Oct,BP2,Others,0.186
Nov,PA g,Asteraceae,0.15
Nov,PA g,Begoniaceae,0
Nov,PA g,Fabaceae,2.399
Nov,PA g,Melastomataceae,0
Nov,PA g,Moraceae,0
Nov,PA g,Myrtaceae,93.553
Nov,PA g,Salicaceae,0
Nov,PA g,Solanaceae,3.748
Nov,PA g,Others,0.15
Oct,PA g,Asteraceae,0.166
Oct,PA g,Begoniaceae,0
Oct,PA g,Fabaceae,0.166
Oct,PA g,Melastomataceae,0
Oct,PA g,Moraceae,0
Oct,PA g,Myrtaceae,99.168
Oct,PA g,Salicaceae,0
Oct,PA g,Solanaceae,0.333
Oct,PA g,Others,0.166
Sep,PA g,Asteraceae,0.66
Sep,PA g,Begoniaceae,0
Sep,PA g,Fabaceae,0
Sep,PA g,Melastomataceae,2.31
Sep,PA g,Moraceae,0
Sep,PA g,Myrtaceae,93.729
Sep,PA g,Salicaceae,0
Sep,PA g,Solanaceae,3.3
Sep,PA g,Others,0
Mar,PA1,Asteraceae,0
Mar,PA1,Begoniaceae,0
Mar,PA1,Fabaceae,98.422
Mar,PA1,Melastomataceae,0
Mar,PA1,Moraceae,0
Mar,PA1,Myrtaceae,1.291
Mar,PA1,Salicaceae,0
Mar,PA1,Solanaceae,0.143
Mar,PA1,Others,0.143
Nov,PA1,Asteraceae,0.333
Nov,PA1,Begoniaceae,0
Nov,PA1,Fabaceae,3.667
Nov,PA1,Melastomataceae,0
Nov,PA1,Moraceae,0
Nov,PA1,Myrtaceae,95.833
Nov,PA1,Salicaceae,0.167
Nov,PA1,Solanaceae,0
Nov,PA1,Others,0
Oct,PA1,Asteraceae,0.177
Oct,PA1,Begoniaceae,0
Oct,PA1,Fabaceae,0.355
Oct,PA1,Melastomataceae,0.355
Oct,PA1,Moraceae,0
Oct,PA1,Myrtaceae,98.404
Oct,PA1,Salicaceae,0
Oct,PA1,Solanaceae,0.532
Oct,PA1,Others,0.177
Sep,PA1,Asteraceae,0
Sep,PA1,Begoniaceae,0
Sep,PA1,Fabaceae,0
Sep,PA1,Melastomataceae,0.245
Sep,PA1,Moraceae,0
Sep,PA1,Myrtaceae,99.51
Sep,PA1,Salicaceae,0
Sep,PA1,Solanaceae,0.245
Sep,PA1,Others,0
Mar,PA2,Asteraceae,0
Mar,PA2,Begoniaceae,0
Mar,PA2,Fabaceae,92.077
Mar,PA2,Melastomataceae,0
Mar,PA2,Moraceae,0
Mar,PA2,Myrtaceae,7.787
Mar,PA2,Salicaceae,0
Mar,PA2,Solanaceae,0
Mar,PA2,Others,0.137
Nov,PA2,Asteraceae,0.185
Nov,PA2,Begoniaceae,0
Nov,PA2,Fabaceae,10.886
Nov,PA2,Melastomataceae,0
Nov,PA2,Moraceae,0
Nov,PA2,Myrtaceae,88.376
Nov,PA2,Salicaceae,0
Nov,PA2,Solanaceae,0.369
Nov,PA2,Others,0.185
Oct,PA2,Asteraceae,0.356
Oct,PA2,Begoniaceae,3.381
Oct,PA2,Fabaceae,0.356
Oct,PA2,Melastomataceae,0.712
Oct,PA2,Moraceae,0
Oct,PA2,Myrtaceae,94.484
Oct,PA2,Salicaceae,0
Oct,PA2,Solanaceae,0.712
Oct,PA2,Others,0
Feb,PA3,Asteraceae,0
Feb,PA3,Begoniaceae,0
Feb,PA3,Fabaceae,93.976
Feb,PA3,Melastomataceae,0
Feb,PA3,Moraceae,0
Feb,PA3,Myrtaceae,5.852
Feb,PA3,Salicaceae,0
Feb,PA3,Solanaceae,0
Feb,PA3,Others,0.172
Jan,PA3,Asteraceae,0
Jan,PA3,Begoniaceae,0
Jan,PA3,Fabaceae,0.38
Jan,PA3,Melastomataceae,0
Jan,PA3,Moraceae,0
Jan,PA3,Myrtaceae,99.241
Jan,PA3,Salicaceae,0
Jan,PA3,Solanaceae,0.19
Jan,PA3,Others,0.19
Mar,SL,Asteraceae,0.348
Mar,SL,Begoniaceae,0
Mar,SL,Fabaceae,81.739
Mar,SL,Melastomataceae,0
Mar,SL,Moraceae,0
Mar,SL,Myrtaceae,17.217
Mar,SL,Salicaceae,0
Mar,SL,Solanaceae,0.174
Mar,SL,Others,0.522
