Month,Δt,erro
MAY,4.28962121212121,0.214805958122575
APR,5.65243888888889,0.234126899167865
JAN,6.84944623655914,0.192040930470428
MAR,7.04790860215053,0.2193870787136
FEB,7.31030357142858,0.249017364371828
DEC,8.21189784946236,0.240029780014449
