Month	Health	CNRQ	erro
FEB	H	0.913060263134487	0.123034635922106
JAN	U	1.15126427844262	0.080381644217358
APR	U	1.17681706562502	0.085887669549697
FEB	U	1.22765948308612	0.081696480600196
MAR	U	1.25211782504825	0.089228803553536
APR	H	1.25329187579916	0.083640161744926
MAR	H	1.32415253148665	0.155034484968023
JAN	H	1.68190543191673	0.172504179759943
